smiles,bandgap,formulas
FC(F)(F)c1cc(-c2ccc3c(ccn3-c3cc(-c4cccc5c4sc4ccccc45)cc(-c4cccc5c4sc4ccccc45)c3)c2)cc(C(F)(F)F)c1,3.7906,C46H25F6NS2
C(=Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc1-2)c1ccc(N(c2ccccc2)c2ccccc2)cc1,2.6281,C65H46N2
c1cnc2c(c1)ccc1c(-n3c4ccc(-c5ccno5)cc4c4cc(-c5ccno5)ccc43)ccnc12,3.2271,C30H17N5O2
O=c1c2ccccc2n(-c2cc(C3CCC(n4c5ccccc5c(=O)c5ccccc54)CC3)cc(C3CCC(n4c5ccccc5c(=O)c5ccccc54)CC3)c2)c2ccccc12,3.5548,C57H47N3O3
O=C(c1ccc(-c2ccc3nc(-c4ccc(-c5cnc6cc(-c7ccc(C(=O)C(F)(F)F)cc7)ccc6n5)s4)cnc3c2)cc1)C(F)(F)F,2.787,C36H18F6N4O2S
C(=Cc1ccc2oc3ncccc3c2c1)c1cc(-c2cc3cc4ccoc4cc3n2-c2ccccc2)cc(-c2cc3cc4ccoc4cc3n2-c2ccccc2)c1,3.2083,C51H31N3O3
Cc1c(C)c(-n2c3ccccc3c3c4c5ccccc5n(-c5c(C)c(C)c(-c6cc(-c7nncc8cccnc78)cc(-c7nncc8cccnc78)c6)c(C)c5C)c4ccc32)c(C)c(C)c1-c1cc(-c2nncc3cccnc23)cc(-c2nncc3cccnc23)c1,2.1021,C78H56N14
Cc1c(-c2ccc(-c3nc4cc5oc(-c6ccc(-c7ccc(P(=O)(c8ccccc8)c8ccccc8)c(C)c7C)cc6)nc5cc4o3)cc2)ccc(P(=O)(c2ccccc2)c2ccccc2)c1C,3.3564,C60H46N2O4P2
ClC(=CN=C(c1ccc(-n2cccc2)cc1)n1cccc1)c1ccc(Cl)cc1,3.4139,C23H17Cl2N3
Cc1cc(-c2cc(-c3ccc(-c4ccc(C(F)(F)F)c(C(F)(F)F)c4)c(C)c3)cc(-c3cncc4ccn(-c5ccccc5)c34)c2)ccc1-c1ccc(C(F)(F)F)c(C(F)(F)F)c1,3.7693,C49H30F12N2
Cc1ccc(C=CC=Cc2ccccc2)cc1,3.5383,C17H16
Cc1cc(C(=O)c2ccccc2)ccc1-c1cccc(-c2ccnc(-c3cc(-c4cccc(-c5ccc(C(=O)c6ccccc6)cc5C)c4)ccn3)c2)c1,3.5435,C50H36N2O2
O=C(c1cccc(-n2c3ccncc3c3cc(-n4c5ccsc5c5sccc54)ccc32)c1)C(F)(F)F,2.2115,C27H14F3N3OS2
c1ccc2c(c1)CCc1ccccc1N2c1cc(-c2cc(-c3nc4ccccc4o3)cc(-c3nc4ccccc4o3)c2)c(-c2cc(-c3nc4ccccc4o3)cc(-c3nc4ccccc4o3)c2)cc1N1c2ccccc2CCc2ccccc21,2.7889,C74H48N6O4
c1ccc2c(c1)oc1ncc(-n3c4ccccc4c4c3ccc3c5ccccc5n(-c5cnc6oc7ccccc7c6c5)c34)cc12,3.0445,C40H22N4O2
Cc1cc(-c2nc3ccccc3o2)c(C)cc1-c1ncco1,3.7342,C18H14N2O2
c1ccc2c(-c3ccc(-c4cc(-c5ccc6ocnc6c5)c(-c5ccc6ocnc6c5)cc4-c4ccc(-c5cncc6ccccc56)cc4)cc3)cncc2c1,3.7259,C50H30N4O2
N#Cc1ccccc1-c1cccc(-c2cccc(-c3ccc4c(c3)Oc3cc(-c5cccc(-c6cccc(-c7ccccc7C#N)c6)c5)ccc3N4c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c2)c1,3.0222,C68H42N4O2
c1ccc2c(c1)Sc1ccccc1N2c1cc(-c2cc(-c3cncc4ncccc34)cc(-c3cncc4ncccc34)c2)cc(-c2cc(-c3cncc4ncccc34)cc(-c3cncc4ncccc34)c2)c1,2.7324,C62H37N9S
c1cc2c(cn1)c1cnccc1n2-c1nc2c3nccnc3c3nccnc3c2nc1-n1c2ccncc2c2cnccc21,3.1117,C32H16N12
COc1cc(C(=O)c2c(C)c(C)cc(C)c2C)cc(-n2c3ccccc3c3cc(-c4c(C)c(C)cc(C)c4C)ccc32)c1,3.0939,C40H39NO2
Cc1c(-c2cc(-c3cnc4oc5ccccc5c4c3)cc(-c3ccc(-c4ccc5sc(-c6ccccc6)cc5c4)c(C)c3C)c2)ccc(-c2ccc3sc(-c4ccccc4)cc3c2)c1C,4.0665,C61H43NOS2
CC(C)(C)C=C/C(=C(\F)N=CC(C)(C)C)C(C)(C)C,4.1192,C17H30FN
COC=N/C(OC)=C(/C=NC(C)(C)C)C(C)(C)C,3.757,C14H26N2O2
Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C)cc1-c1ccc(-c2ccc3c(c2)c2cnccc2n3-c2ccccc2)cc1,3.5695,C49H37N3
Cc1cc(-c2cccc(C(F)(F)F)c2)cc(C)c1-c1cc(-n2c3ccccc3c3cc(N(c4ccccc4)c4ccccc4)ccc32)cc(-n2c3ccccc3c3cc(N(c4ccccc4)c4ccccc4)ccc32)c1,3.3493,C69H49F3N4
Fc1cc(-c2cccc(-c3ccc(-c4c(-c5ccc(-c6cccc(-c7cc(F)c(F)c(F)c7)n6)cc5)c5ccccc5c5ccccc45)cc3)n2)cc(F)c1F,3.6395,C48H26F6N2
O=C1C=CC(=O)N1c1ncco1,2.7916,C7H4N2O3
Cc1cc(C)c(-n2cnc3ccccc32)c(C)c1-c1cc(-c2ccc(C(=O)C(F)(F)F)cc2)cc(-c2c(C)cc(C)c(-n3cnc4ccccc43)c2C)c1,3.3391,C46H37F3N4O
CC1(C)c2ccccc2N(c2cc(C3CCCC(c4ccc(C(=O)c5ccccc5)cc4)C3)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2)c2ccccc21,2.9506,C55H50N2O
Cc1cc(C)c(-c2cn(-c3c(C)cc(C)c(C(=O)c4cccc(-c5c(C)c(C)cc(C)c5C)c4)c3C)c3ccccc23)c(C)c1,3.2074,C43H43NO
Cc1c(-c2ccc(-c3ccc(C#N)cc3)cc2)ccc(-n2cnc3cc4c(cc32)ncn4-c2ccc(-c3ccc(-c4ccc(C#N)cc4)cc3)c(C)c2C)c1C,3.3808,C50H36N6
Cc1cc(-c2ccc3c(n2)oc2ccccc23)c(C)cc1-c1cc(-c2cc(C)c(-c3ccc4c(n3)oc3ccccc34)cc2C)cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)c1,3.3866,C65H44N4O2
,3.5859,C49H34N2O3
Cc1cc(C)cc(-c2cc3c(cc2-c2ccc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc2)sc2cc(-c4ccc(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)cc4)c(-c4cc(C)cc(C)c4)cc23)c1,3.5802,C56H36F12S
Cc1cc(-c2ccc3c(c2)-c2cc(-c4cc(C)c(-c5cc6cc7ccoc7cc6n5-c5ccccc5)c(C)c4)ccc2S3(=O)=O)cc(C)c1-c1cc2cc3ccoc3cc2n1-c1ccccc1,3.0616,C60H42N2O4S
c1ccc2c(c1)Sc1cc(-n3c4ccccc4c4ccccc43)ccc1N2c1nc2cc3ocnc3cc2o1,3.7978,C32H18N4O2S
Cc1c(C)c(-n2cc(-c3ccccc3)c3ccccc32)c(C)c(C)c1-c1cnc2oc3ncccc3c2c1,3.1587,C34H27N3O
Cc1c(C)c(-c2c(C)c(-c3ncco3)c(C)c(-c3ncco3)c2C)c(C)c(C)c1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,3.8339,C43H39N3O2
N#Cc1cc(C#N)c(-c2cccc(-c3ccc(-c4ccnc5sc6ccccc6c45)cc3)c2)c(C#N)c1,2.9835,C32H16N4S
Cc1ccc2c(c1)c1cc(C)ccc1n2C1=CC(=O)c2ccccc2C1=O,1.8233,C24H17NO2
c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1cc(N3c4ccccc4Oc4ccccc43)ccc1n2-c1ccc2ncncc2c1,2.0658,C44H27N5O2
Cc1cc(-c2cc(-c3cc(C)c(-n4c5ccccc5c5cccnc54)c(C)c3)cc(-c3ncccn3)c2)cc(C)c1-n1c2ccccc2c2cccnc21,3.8013,C48H36N6
c1cncc(-c2cccc(-c3cc(-c4cccc(-c5cccnc5)c4)cc(N4c5ccccc5Oc5ccccc54)c3)c2)c1,2.7982,C40H27N3O
Cc1cc(-c2cc3cc4ccoc4cc3n2-c2ccccc2)cc(C)c1-c1cc(-c2ccc(C#N)c(C#N)c2)cc(-c2c(C)cc(-c3cc4cc5ccoc5cc4n3-c3ccccc3)cc2C)c1,2.5232,C62H42N4O2
CC1(C)c2ccccc2N(c2cccc(C=Cc3nc(C=Cc4cccc(N5c6ccccc6C(C)(C)c6ccccc65)c4)nc(-c4ccccc4)n3)c2)c2ccccc21,2.2756,C55H45N5
Cc1cc(-c2nnc(-c3cc(C)c(-c4c(C)c(-c5cnc6ccccc6c5)c(C)c(-c5cnc6ccccc6c5)c4C)c(C)c3)o2)cc(C)c1-c1c(C)c(-c2cnc3ccccc3c2)c(C)c(-c2cnc3ccccc3c2)c1C,3.9181,C72H58N6O
CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccnc5c4ccc4cccnc45)cc(-c4ccnc5c4ccc4cccnc45)c3)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc21,2.9572,C63H42N6
O=c1n(-c2nc3c(ccc4cccnc43)cc2-c2ccccc2C(F)(F)F)ccn1-c1nc2c(ccc3cccnc32)cc1-c1ccccc1C(F)(F)F,3.1973,C41H22F6N6O
COc1ccc(N(C)c2c(C)c(C)c(-c3cc(C(=O)c4c(C)cc(C)cc4C)cc(-c4ccccc4)c3)c(C)c2C)cc1,2.7434,C40H41NO2
O=S(=O)(c1ccc(-c2cccc3c2sc2ccccc23)cc1)c1cnc2cnncc2c1,3.085,C25H15N3O2S2
Cc1cccc2c3ccccc3n(-c3ccc(-c4cc5ccc6cccnc6c5nc4-c4ccc(-c5ccc(C(F)(F)F)c(C(F)(F)F)c5)cc4)cc3)c12,3.0569,C45H27F6N3
Cc1c(-c2cc(-c3cc(C#N)cc(C#N)c3)cc(-c3c(C)c(-c4ccc5c(c4)ncn5-c4ccccc4)c(C)c(-c4ccc5c(c4)ncn5-c4ccccc4)c3C)c2)c(C)c(-c2ccc3c(c2)ncn3-c2ccccc2)c(C)c1-c1ccc2c(c1)ncn2-c1ccccc1,3.557,C84H60N10
Cc1c(-c2cc(-c3nc(-c4ccccc4)no3)cc(-c3nc(-c4ccccc4)no3)c2)cccc1N1c2ccccc2C(C)(C)c2cc(-n3c4ccccc4c4ccccc43)ccc21,2.5486,C56H40N6O2
Cc1cc(-c2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)ccc1-c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(P(=O)(c5ccccc5)c5ccccc5)cc4)cc3C)cc2)cc1,3.3301,C68H53NO2P2
N#CC(C#N)=Cc1c2nc(-c3ccccc3)sc2c(C=C(C#N)C#N)c2nc(-c3ccccc3)sc12,2.5064,C28H12N6S2
c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccc(-c3cc(C4CCC(n5cccn5)CC4)cc(C4CCC(n5cccn5)CC4)c3)cc2)cc1,4.7174,C48H48N4Si
Cc1cc(-c2ccc(C(=O)C(F)(F)F)cc2)cc(C)c1-n1ccc2cc3ccoc3cc21,2.5731,C26H18F3NO2
Cc1cc(-c2cnc3c(ccc4cccnc43)c2)c(C)cc1-c1cc(-c2nc(-c3ccccc3)cc(-c3ccccc3)n2)cc(-c2cc(C)c(-c3cnc4c(ccc5cccnc54)c3)cc2C)c1,3.7478,C62H44N6
Cc1c(-c2cc(-c3cnccn3)cc(-c3cccc(-c4ccc5nc(-c6ccccc6)sc5c4)c3C)c2)cccc1-c1ccc2nc(-c3ccccc3)sc2c1,3.8467,C50H34N4S2
O=c1c2ccccc2n(-c2cc(-c3scc4c3OCCO4)ccn2)c2ccccc12,3.01,C24H16N2O3S
Cc1cc(-c2c(C)c(-n3c4ccccc4c4ccccc43)c(C)c(-n3c4ccccc4c4ccccc43)c2C)cc(C)c1-c1ccc(C#N)cc1,3.7001,C48H37N3
Cc1c(-c2cc(-c3ccnc4ncccc34)cc(-c3ccnc4ncccc34)c2)cccc1N1C(=O)c2ccccc2C1=O,3.6135,C37H23N5O2
Cc1c(-c2cccc(-c3ccc4ncncc4c3)c2)ccc(-c2nnc(-c3ccc(-c4cccc(-c5ccc6ncncc6c5)c4)c(C)c3C)n2-c2ccccc2)c1C,3.748,C52H39N7
Cc1cc(C)c(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2cccc(-c3ncnc(-c4c(C)c(C)cc(C)c4C)n3)c2)c(C)c1,2.8052,C46H40N4
Cc1c(-c2ccc(-c3ccc4nc(-c5ccccc5)oc4c3)cc2)ccc(N2c3ccccc3C(C)(C)c3cc(N(c4ccccc4)c4ccccc4)ccc32)c1C,2.6648,C54H43N3O
c1ccc(N(c2ccccc2)c2cccc(-c3cc(-n4c5ccccc5c5cccnc54)cc(-n4c5ccccc5c5cccnc54)c3)c2)cc1,3.5607,C46H31N5
Cc1c(-c2ccc3oc(-c4ccccc4)cc3c2)ccc(-c2nc(-c3ccc(-c4ccc5oc(-c6ccccc6)cc5c4)c(C)c3C)nc(-c3ccc(-c4ccc5oc(-c6ccccc6)cc5c4)c(C)c3C)n2)c1C,3.6887,C69H51N3O3
Cc1cc(-c2ncns2)cc(C)c1-c1c(C)cc(C)c(N2c3ccccc3Oc3ccccc32)c1C,2.5405,C31H27N3OS
Cc1cc(-c2ccc(-n3ccc4cc5ccoc5cc43)cc2)ccc1-c1nc2nc3nc(-c4ccc(-c5ccc(-n6ccc7cc8ccoc8cc76)cc5)cc4C)n(-c4ccccc4)c3cc2n1-c1ccccc1,3.2246,C65H43N7O2
CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)C(C)(C)c3cc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)ccc3N4c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)cc2)c2ccccc21,2.987,C70H56F3N3
Cc1cc(-c2ccc3ncncc3c2)cc(C)c1-c1ccc(N2c3ccccc3Sc3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1,2.9347,C46H32N4S
Cc1c(-c2cccc(N3c4ccc(-n5c6ccccc6c6ccccc65)cc4Oc4cc(-n5c6ccccc6c6ccccc65)ccc43)c2)cccc1-c1ccc2oc3ncccc3c2c1,3.1518,C60H38N4O2
c1ccc2c(-c3cc(-c4cncc(-c5cc(-c6cncc7ccccc67)cc(-c6cncc7ccccc67)c5)c4)cc(-c4cncc5ccccc45)c3)cncc2c1,3.9338,C53H33N5
Cc1cc(C)c(-c2ccc3c(c2)c2cc(-c4c(C)cc(C)c(-c5nc(-c6ccccc6)nc(-c6c(C)cc(C)c(-c7ccc8c(c7)c7cc(-c9c(C)cc(C)cc9C)ccc7n8C)c6C)n5)c4C)ccc2n3C)c(C)c1,3.4111,C71H65N5
Cc1cc(-c2ccc(C#N)cc2)ccc1-n1ccc2cc3ccoc3cc21,3.0606,C24H16N2O
